,UID,company,drugName,BTDdate,approvDate,ticker,date,daysFromBTD,daysFromApprov,value,pcReturn
1,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,12/26/13,-119,-697,250,0.0001
2,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,12/27/13,-118,-696,250,0.0001
3,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,12/30/13,-115,-693,250,0.0001
4,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,12/31/13,-114,-692,250,0.0001
5,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/2/14,-112,-690,250,0.0001
6,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/3/14,-111,-689,250,0.0001
7,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/6/14,-108,-686,250,0.0001
8,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/7/14,-107,-685,250,0.0001
9,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/8/14,-106,-684,250,0.0001
10,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/9/14,-105,-683,250,0.0001
11,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/10/14,-104,-682,250,0.0001
12,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/13/14,-101,-679,250,0.0001
13,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/14/14,-100,-678,250,0.0001
14,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/15/14,-99,-677,250,0.0001
15,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/16/14,-98,-676,250,0.0001
16,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/17/14,-97,-675,250,0.0001
17,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/21/14,-93,-671,250,0.0001
18,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/22/14,-92,-670,250,0.0001
19,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/23/14,-91,-669,250,0.0001
20,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/24/14,-90,-668,250,0.0001
21,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/27/14,-87,-665,250,0.0001
22,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/28/14,-86,-664,250,0.0001
23,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/29/14,-85,-663,250,0.0001
24,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/30/14,-84,-662,250,0.0001
25,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/31/14,-83,-661,250,0.0001
26,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/3/14,-80,-658,250,0.0001
27,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/4/14,-79,-657,250,0.0001
28,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/5/14,-78,-656,250,0.0001
29,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/6/14,-77,-655,250,0.0001
30,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/7/14,-76,-654,250,0.0001
31,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/10/14,-73,-651,250,0.0001
32,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/11/14,-72,-650,250,0.0001
33,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/12/14,-71,-649,250,0.0001
34,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/13/14,-70,-648,250,0.0001
35,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/14/14,-69,-647,250,0.0001
36,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/18/14,-65,-643,250,0.0001
37,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/19/14,-64,-642,250,0.0001
38,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/20/14,-63,-641,250,0.0001
39,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/21/14,-62,-640,250,0.0001
40,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/24/14,-59,-637,250,0.0001
41,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/25/14,-58,-636,250,0.0001
42,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/26/14,-57,-635,250,0.0001
43,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/27/14,-56,-634,250,0.0001
44,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/28/14,-55,-633,250,0.0001
45,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/3/14,-52,-630,250,0.0001
46,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/4/14,-51,-629,250,0.0001
47,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/5/14,-50,-628,250,0.0001
48,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/6/14,-49,-627,250,0.0001
49,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/7/14,-48,-626,250,0.0001
50,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/10/14,-45,-623,250,0.0001
51,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/11/14,-44,-622,250,0.0001
52,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/12/14,-43,-621,250,0.0001
53,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/13/14,-42,-620,250,0.0001
54,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/14/14,-41,-619,250,0.0001
55,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/17/14,-38,-616,250,0.0001
56,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/18/14,-37,-615,250,0.0001
57,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/19/14,-36,-614,250,0.0001
58,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/20/14,-35,-613,250,0.0001
59,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/21/14,-34,-612,250,0.0001
60,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/24/14,-31,-609,250,0.0001
61,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/25/14,-30,-608,250,0.0001
62,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/26/14,-29,-607,250,0.0001
63,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/27/14,-28,-606,250,0.0001
64,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/28/14,-27,-605,250,0.0001
65,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/31/14,-24,-602,250,0.0001
66,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,4/1/14,-23,-601,250,0.0001
67,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,4/2/14,-22,-600,250,0.0001
68,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,4/3/14,-21,-599,250,0.0001
69,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,4/4/14,-20,-598,250,0.0001
70,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,4/7/14,-17,-595,250,0.0001
71,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,4/8/14,-16,-594,250,0.0001
72,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,4/9/14,-15,-593,250,0.0001
73,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,4/10/14,-14,-592,250,0.0001
74,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,4/11/14,-13,-591,250,0.0001
75,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,4/14/14,-10,-588,250,0.0001
76,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,4/15/14,-9,-587,250,0.0001
77,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,4/16/14,-8,-586,250,0.0001
78,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,4/17/14,-7,-585,250,0.0001
79,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,4/21/14,-3,-581,250,0.0001
80,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,4/22/14,-2,-580,250,0.0001
81,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,4/23/14,-1,-579,250,0.0001
82,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,4/24/14,0,-578,250,0.0001
83,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,4/25/14,1,-577,250,0.0001
