,UID,company,drugName,BTDdate,approvDate,ticker,date,daysFromBTD,daysFromApprov,value,pcReturn
1,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,12/26/13,-119,-697,97.54955303,0.001359458
2,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,12/27/13,-118,-696,45.27453538,0.006451047
3,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,12/30/13,-115,-693,35.20559061,0.0082132
4,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,12/31/13,-114,-692,18.35565493,0.005247132
5,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/2/14,-112,-690,49.87750397,0.000689952
6,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/3/14,-111,-689,31.8263885,0.000175811
7,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/6/14,-108,-686,32.40694376,0.004696939
8,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/7/14,-107,-685,0.33765665,0.005408713
9,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/8/14,-106,-684,23.30165471,0.005909648
10,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/9/14,-105,-683,66.17414098,0.003649102
11,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/10/14,-104,-682,22.34273143,0.006737357
12,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/13/14,-101,-679,99.63751255,0.005646393
13,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/14/14,-100,-678,81.4371594,2.23849E-05
14,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/15/14,-99,-677,55.88862421,0.009118816
15,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/16/14,-98,-676,33.72982572,0.007339257
16,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/17/14,-97,-675,59.86587247,0.006111465
17,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/21/14,-93,-671,24.25044494,7.73972E-05
18,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/22/14,-92,-670,41.0023135,0.007833702
19,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/23/14,-91,-669,50.36437733,0.001803508
20,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/24/14,-90,-668,22.65917347,0.009334284
21,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/27/14,-87,-665,96.13414597,0.002596495
22,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/28/14,-86,-664,91.59894507,0.003032798
23,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/29/14,-85,-663,99.51221041,0.001998149
24,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/30/14,-84,-662,42.75140415,0.0005322
25,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,1/31/14,-83,-661,3.208495329,0.00509421
26,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/3/14,-80,-658,76.466093,0.007681038
27,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/4/14,-79,-657,62.59231681,0.007970224
28,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/5/14,-78,-656,52.2410438,0.003788997
29,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/6/14,-77,-655,16.92206591,0.000796148
30,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/7/14,-76,-654,76.01931179,0.007446285
31,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/10/14,-73,-651,60.17113956,0.008890212
32,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/11/14,-72,-650,41.97784241,0.005657535
33,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/12/14,-71,-649,51.60889129,0.002347211
34,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/13/14,-70,-648,85.56681992,0.00038085
35,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/14/14,-69,-647,44.15556851,0.008658406
36,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/18/14,-65,-643,97.93905088,0.004012693
37,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/19/14,-64,-642,87.13654706,0.004285642
38,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/20/14,-63,-641,73.30176384,0.001163255
39,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/21/14,-62,-640,86.21586304,0.006611801
40,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/24/14,-59,-637,47.46422092,0.003787108
41,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/25/14,-58,-636,25.96881523,0.001671286
42,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/26/14,-57,-635,79.37209622,0.007101155
43,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/27/14,-56,-634,30.88895631,0.000397918
44,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,2/28/14,-55,-633,83.34580998,0.00275566
45,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/3/14,-52,-630,63.45277115,0.00326536
46,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/4/14,-51,-629,55.49755234,0.005886589
47,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/5/14,-50,-628,37.8134105,0.002066781
48,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/6/14,-49,-627,19.21373999,0.005654917
49,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/7/14,-48,-626,25.26605812,0.009342132
50,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/10/14,-45,-623,28.03535105,0.001257814
51,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/11/14,-44,-622,28.06207344,0.005388622
52,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/12/14,-43,-621,93.71186271,0.006044446
53,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/13/14,-42,-620,99.06548122,0.000673878
54,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/14/14,-41,-619,1.645098136,0.005518324
55,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/17/14,-38,-616,64.50135552,0.000656325
56,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/18/14,-37,-615,42.70768898,0.006298069
57,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/19/14,-36,-614,80.5708677,0.00025406
58,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/20/14,-35,-613,88.16374701,0.006077866
59,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/21/14,-34,-612,11.16329627,0.001343418
60,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/24/14,-31,-609,3.100157885,0.000184327
61,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/25/14,-30,-608,9.304855716,0.009129317
62,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/26/14,-29,-607,69.83465218,0.001200275
63,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/27/14,-28,-606,93.54375292,0.000925715
64,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/28/14,-27,-605,41.89425875,0.002923366
65,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,3/31/14,-24,-602,3.45992982,0.006055249
66,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,4/1/14,-23,-601,54.42503335,0.008593245
67,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,4/2/14,-22,-600,34.15554184,0.007974776
68,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,4/3/14,-21,-599,83.87869667,0.009211639
69,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,4/4/14,-20,-598,92.37700564,0.004114195
70,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,4/7/14,-17,-595,16.95821821,0.00046479
71,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,4/8/14,-16,-594,94.2945774,0.008387556
72,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,4/9/14,-15,-593,86.52615651,0.004161204
73,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,4/10/14,-14,-592,68.58558525,0.000736772
74,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,4/11/14,-13,-591,6.267487682,0.008208708
75,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,4/14/14,-10,-588,29.95283593,0.007810693
76,AstraZeneca Tagrisso 2014-04-24,AstraZeneca,Tagrisso,4/24/14,11/23/15,AZN,4/15/14,-9,-587,38.07461297,0.005824201
